"Variável";"Localidade";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Percentual da População Atendida com Água (%)";"Campinaçu";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Campinorte";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Campo Alegre de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Campo Limpo de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Campos Belos";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Campos Verdes";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Carmo do Rio Verde";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Castelândia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Catalão";"[1]";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"[1]";"[1]";"[1]"
"Percentual da População Atendida com Água (%)";"Caturaí";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Cavalcante";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Ceres";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Cezarina";"99,70";"99,9";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Chapadão do Céu";"[1]";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"[1]";"[1]";"[1]"
"Percentual da População Atendida com Água (%)";"Cidade Ocidental";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Cocalzinho de Goiás";"100,00";"100,0";"100,0";"96,70";"97,1";"97,5";"97,3";"97,4";"100";"97,12";"96,81"
"Percentual da População Atendida com Água (%)";"Colinas do Sul";"0,00";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"[1]";"[1]";"[1]"
"Percentual da População Atendida com Água (%)";"Córrego do Ouro";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Corumbá de Goiás";"[1]";"[1]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"[1]";"[1]";"[1]"
"Percentual da População Atendida com Água (%)";"Corumbaíba";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
"Percentual da População Atendida com Água (%)";"Cristalina";"81,80";"83,5";"86,3";"89,60";"90";"91,5";"91,9";"92,4";"100";"94,19";"95,08"
"Percentual da População Atendida com Água (%)";"Cristianópolis";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"100";"100";"100"
